"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.950966822297269,0.949047546876758,0.0198163096819628,0.0205877169978279
"2",2,0.93740848895679,0.934960161380798,0.0231008983415159,0.024002239620351
"3",3,0.950968147549094,0.949050045726098,0.0221486581453555,0.023011742564647
"4",4,0.948346635782345,0.946325000172471,0.0245058008895955,0.0254589826490127
"5",5,0.944770550100996,0.942609370211391,0.0225639553259187,0.0234450291080265
"6",6,0.9363787642755,0.933888542851439,0.0279191874008829,0.0290130774784399
"7",7,0.937454204147742,0.935005154799547,0.0294175086580029,0.0305668369533147
"8",8,0.928059012331497,0.925241296991772,0.025581489236233,0.0265838354933283
"9",9,0.92808739334722,0.92527157972269,0.0255965729457026,0.0265955766712884
"10",10,0.924898148559041,0.921962424362057,0.0276584588791714,0.0287384040018583
