"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.939037445387878,0.936649052414696,0.027026613296049,0.0280807491245646
"2",2,0.932921845404857,0.93029864495578,0.0279574804354916,0.0290430802578178
"3",3,0.941800331052829,0.939523370438763,0.0237439508390922,0.0246692968650673
"4",4,0.941394206594073,0.93910387247766,0.0244885832981244,0.025438305159803
"5",5,0.937812558907163,0.935381006095626,0.0258829820583504,0.0268881467609829
"6",6,0.934702112277728,0.932146734968463,0.0281637665387065,0.0292629539328028
"7",7,0.93215004321933,0.929497119757402,0.0305762374724688,0.0317703634840068
"8",8,0.931183308811557,0.92849060472421,0.0255355741940022,0.0265310871237063
"9",9,0.928089887612872,0.925275695732848,0.0271565359301898,0.0282127461178535
"10",10,0.919324102741824,0.916167853838926,0.029526222514353,0.0306762251713657
