"","cp","Accuracy","Kappa","AccuracySD","KappaSD","maxdepth"
"1",0,0.794473088069357,0.786444214066552,0.0509343284453809,0.0529050114966967,"5"
"2",0.05,0.0280392399193199,0,0.00419995638266343,0,"5"
"3",0.1,0.0280392399193199,0,0.00419995638266343,0,"5"
"4",0.15,0.0280392399193199,0,0.00419995638266343,0,"5"
"5",0.2,0.0280392399193199,0,0.00419995638266343,0,"5"
"6",0.25,0.0280392399193199,0,0.00419995638266343,0,"5"
"7",0.3,0.0280392399193199,0,0.00419995638266343,0,"5"
"8",0.35,0.0280392399193199,0,0.00419995638266343,0,"5"
"9",0.4,0.0280392399193199,0,0.00419995638266343,0,"5"
"10",0.45,0.0280392399193199,0,0.00419995638266343,0,"5"
"11",0.5,0.0280392399193199,0,0.00419995638266343,0,"5"
"12",0.55,0.0280392399193199,0,0.00419995638266343,0,"5"
"13",0.6,0.0280392399193199,0,0.00419995638266343,0,"5"
"14",0.65,0.0280392399193199,0,0.00419995638266343,0,"5"
"15",0.7,0.0280392399193199,0,0.00419995638266343,0,"5"
"16",0.75,0.0280392399193199,0,0.00419995638266343,0,"5"
"17",0.8,0.0280392399193199,0,0.00419995638266343,0,"5"
"18",0.85,0.0280392399193199,0,0.00419995638266343,0,"5"
"19",0.9,0.0280392399193199,0,0.00419995638266343,0,"5"
"20",0.95,0.0280392399193199,0,0.00419995638266343,0,"5"
"21",1,0.0280392399193199,0,0.00419995638266343,0,"5"
"22",0,0.796038216785113,0.788083226307459,0.0388816339008225,0.0403897821746258,"10"
"23",0.05,0.0288950684470992,0,0.00490608040503813,0,"10"
"24",0.1,0.0288950684470992,0,0.00490608040503813,0,"10"
"25",0.15,0.0288950684470992,0,0.00490608040503813,0,"10"
"26",0.2,0.0288950684470992,0,0.00490608040503813,0,"10"
"27",0.25,0.0288950684470992,0,0.00490608040503813,0,"10"
"28",0.3,0.0288950684470992,0,0.00490608040503813,0,"10"
"29",0.35,0.0288950684470992,0,0.00490608040503813,0,"10"
"30",0.4,0.0288950684470992,0,0.00490608040503813,0,"10"
"31",0.45,0.0288950684470992,0,0.00490608040503813,0,"10"
"32",0.5,0.0288950684470992,0,0.00490608040503813,0,"10"
"33",0.55,0.0288950684470992,0,0.00490608040503813,0,"10"
"34",0.6,0.0288950684470992,0,0.00490608040503813,0,"10"
"35",0.65,0.0288950684470992,0,0.00490608040503813,0,"10"
"36",0.7,0.0288950684470992,0,0.00490608040503813,0,"10"
"37",0.75,0.0288950684470992,0,0.00490608040503813,0,"10"
"38",0.8,0.0288950684470992,0,0.00490608040503813,0,"10"
"39",0.85,0.0288950684470992,0,0.00490608040503813,0,"10"
"40",0.9,0.0288950684470992,0,0.00490608040503813,0,"10"
"41",0.95,0.0288950684470992,0,0.00490608040503813,0,"10"
"42",1,0.0288950684470992,0,0.00490608040503813,0,"10"
