"","C","sigma","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.001,"0.001",0.168234518189215,0.144044905298733,0.205801037571625,0.208791288963316
"6",0.01,"0.001",0.168234518189215,0.144044905298733,0.205801037571625,0.208791288963316
"11",0.1,"0.001",0.681437435186269,0.669410616464006,0.0449795706682555,0.0463065512372602
"16",1,"0.001",0.959177565086959,0.957578127422712,0.0241338456125858,0.0250804522765549
"21",10,"0.001",0.968058386632004,0.966806609425957,0.0219414301784184,0.0228019780437095
"2",0.001,"0.01",0.0934666425419257,0.0668053088918991,0.0948682895535811,0.0939418283363415
"7",0.01,"0.01",0.0934666425419257,0.0668053088918991,0.0948682895535811,0.0939418283363415
"12",0.1,"0.01",0.0934666425419257,0.0668053088918991,0.0948682895535811,0.0939418283363415
"17",1,"0.01",0.487546426032768,0.469882313457509,0.0668650270866717,0.0680461642509223
"22",10,"0.01",0.517465723167922,0.500731917759198,0.0681565638136111,0.069506946099667
"3",0.001,"0.1",0.107046222277401,0.0805398239071667,0.130668335889066,0.13055361125899
"8",0.01,"0.1",0.0879865766154907,0.060813426739569,0.103158262687616,0.102123838709642
"13",0.1,"0.1",0.0620866715017281,0.0343063625484892,0.060842996794894,0.0588005867516501
"18",1,"0.1",0.0461972369500684,0.0178575726562294,0.0291980424363028,0.0260623007231738
"23",10,"0.1",0.050943813215632,0.0227887140385494,0.0368541005276085,0.033877733855699
"4",0.001,"1",0.167390636332675,0.1433502854994,0.205221975394663,0.20857137341347
"9",0.01,"1",0.167390636332675,0.143347392570565,0.205221975394663,0.208566216499879
"14",0.1,"1",0.167390636332675,0.143341682907259,0.205221975394663,0.208555873584789
"19",1,"1",0.167390636332675,0.143338709715813,0.205221975394663,0.208550773904713
"24",10,"1",0.167390636332675,0.143338709715813,0.205221975394663,0.208550773904713
"5",0.001,"10",0.0280392399193199,0,0.00419995638266343,0
"10",0.01,"10",0.0280392399193199,0,0.00419995638266343,0
"15",0.1,"10",0.0280392399193199,0,0.00419995638266343,0
"20",1,"10",0.0280392399193199,0,0.00419995638266343,0
"25",10,"10",0.0280392399193199,0,0.00419995638266343,0
