"","mtry","Accuracy","Kappa","AccuracySD","KappaSD","ntree"
"1",10,0.946433669067247,0.944337136317382,0.0198998019268502,0.0206810164179626,"500"
"2",35,0.94078593518367,0.938467868501972,0.0240083200332621,0.0249488758733175,"500"
"3",60,0.942974443214283,0.9407422154571,0.0212570828349945,0.0220903710078347,"500"
"4",85,0.941668841454984,0.939387599691162,0.0226671991659702,0.0235539142964943,"500"
"5",110,0.944767007671072,0.942605803127329,0.0252637373319733,0.0262509428928924,"500"
"6",135,0.942988913787715,0.940757443612926,0.0266843625150626,0.027729229440608,"500"
"7",160,0.939456872709371,0.937087700125773,0.027274608187459,0.0283432873792113,"500"
"8",185,0.942145189983964,0.939882588144769,0.0273636876673861,0.028431302455779,"500"
"9",210,0.93946798410889,0.937099334030301,0.0287544491333025,0.0298782811505441,"500"
"10",235,0.939900446087655,0.937548329765717,0.0268133652747149,0.0278636958386186,"500"
"11",260,0.940363475510711,0.938031501896115,0.0247055969573371,0.0256707340756238,"500"
"12",285,0.940777639070111,0.938461111639016,0.0279479717566122,0.0290405294515315,"500"
"13",10,0.943923366844337,0.941731395356384,0.0257176548446716,0.0267191479994177,"600"
"14",35,0.944390738642799,0.942218550269919,0.0270414479949314,0.0280884752898961,"600"
"15",60,0.940905367449044,0.938597088674023,0.0276914266438956,0.0287651640686301,"600"
"16",85,0.940828333780806,0.938514895754719,0.0279809225981063,0.0290688236671117,"600"
"17",110,0.9426478686436,0.940406026515658,0.0248858330185679,0.0258532057305282,"600"
"18",135,0.94212826548649,0.939865514709833,0.0260575881585922,0.0270694884864706,"600"
"19",160,0.941656043264268,0.939375150109502,0.0275357730952989,0.0286066072510336,"600"
"20",185,0.936457144447448,0.933973482634035,0.0255853456681892,0.0265782128126321,"600"
"21",210,0.941216841572023,0.938917755562889,0.0253265835109408,0.026314764862379,"600"
"22",235,0.941275115676599,0.938978738950843,0.02562419839034,0.026619809164727,"600"
"23",260,0.940438470233048,0.938108421890623,0.0226005555914882,0.0234818846313929,"600"
"24",285,0.93819642268204,0.935777338829087,0.0256657549536616,0.0266666265468102,"600"
"25",10,0.944717023964738,0.942552006134014,0.0286903211956326,0.0298125957810561,"700"
"26",35,0.943400468542919,0.941186408692202,0.0307582520168168,0.0319535918775131,"700"
"27",60,0.940831353607526,0.938514535597158,0.0309039962213681,0.0321087591246705,"700"
"28",85,0.942187816510291,0.939923585061269,0.029202206719762,0.0303423735159674,"700"
"29",110,0.941223135346099,0.938920863387664,0.0279615268106573,0.02905322272549,"700"
"30",135,0.943451551826658,0.941237397679039,0.0271122855590144,0.0281707346112803,"700"
"31",160,0.941233918955817,0.938932245274642,0.0271945002828787,0.0282561122308802,"700"
"32",185,0.938133573254894,0.935710683926909,0.0254572612951184,0.0264520298706844,"700"
"33",210,0.94076682494242,0.938446129166387,0.0263646029807077,0.02739548989011,"700"
"34",235,0.941211877282209,0.938907385147847,0.0264148869894967,0.0274479672736895,"700"
"35",260,0.937673087638157,0.935232674813042,0.0278096173253899,0.0288965660334445,"700"
"36",285,0.938585257991366,0.936178990301224,0.0273860191090985,0.0284576727478045,"700"
"37",10,0.946617488014981,0.944525267925075,0.0189829443974106,0.0197240111677594,"800"
"38",35,0.945717097314101,0.94358931579904,0.0214138740445913,0.0222552503952633,"800"
"39",60,0.943095877485399,0.940865076867685,0.0228445562709738,0.0237407218717629,"800"
"40",85,0.943062760453924,0.940829965521203,0.0210348878110668,0.0218587095221468,"800"
"41",110,0.944432656328507,0.942253036177312,0.0232819612665423,0.0241956125637699,"800"
"42",135,0.944005896250181,0.941810868166464,0.0203919565338674,0.021192042014116,"800"
"43",160,0.940037466769093,0.937687289047222,0.0218905557493943,0.0227433301909395,"800"
"44",185,0.940044245218554,0.937694555870821,0.0215873600783761,0.0224296537206823,"800"
"45",210,0.942237056968683,0.939972355981032,0.021567199653616,0.0224091655240212,"800"
"46",235,0.940973968205595,0.938661376541873,0.0215343645101053,0.0223743302095625,"800"
"47",260,0.939621958300953,0.93725523594861,0.020999209878379,0.0218164378098898,"800"
"48",285,0.938744613423608,0.936343959945485,0.0203208951375401,0.0211120317122654,"800"
"49",10,0.945213814940801,0.943070659391489,0.0247200842601163,0.0256848674310124,"900"
"50",35,0.946969118748736,0.944896059657764,0.0221940849211581,0.0230598664336908,"900"
"51",60,0.945235826414867,0.943095935167618,0.0229298809411715,0.0238253773548885,"900"
"52",85,0.946535323861244,0.944444763016075,0.0233387430468075,0.0242513851441647,"900"
"53",110,0.943063722776407,0.940838011138814,0.0245160343866507,0.0254723712980082,"900"
"54",135,0.944783287505345,0.942624739383451,0.0213989559796263,0.0222328204103859,"900"
"55",160,0.943922094148838,0.941731346857252,0.0253842325008011,0.0263723996014074,"900"
"56",185,0.941686661354444,0.939408745056869,0.0274092148150476,0.0284756604592051,"900"
"57",210,0.941260064875216,0.93896535324403,0.0264148588305336,0.0274416783732019,"900"
"58",235,0.940797139916978,0.938484062877367,0.0266757347590716,0.0277112646153472,"900"
"59",260,0.941253596373434,0.938958038192565,0.0259363601995881,0.0269447329438298,"900"
"60",285,0.94218391974644,0.939925644079164,0.0257275760436411,0.0267238424023691,"900"
"61",10,0.944715332130215,0.942551138355704,0.0251462185200524,0.0261272695169916,"1000"
"62",35,0.944283702340778,0.942104180988878,0.0271104479013367,0.0281694646876278,"1000"
"63",60,0.941089569397547,0.938784524155543,0.0273122461358754,0.0283814256938017,"1000"
