,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,0.2857,1.0000,1.0000,0.9870,1.0000,0.4444
 cabeza cuello,0.1111,1.0000,1.0000,0.9793,1.0000,0.2000
 colon,0.0000,1.0000,NA,0.9742,NA,NA
 esófago,0.0588,0.9919,0.2500,0.9582,0.2500,0.0952
 estómago,0.2500,0.9446,0.0870,0.9835,0.0870,0.1290
 hígado,0.6667,0.9974,0.6667,0.9974,0.6667,0.6667
 mama,0.0440,1.0000,1.0000,0.7728,1.0000,0.0842
 ovario,0.0000,1.0000,NA,0.9664,NA,NA
 páncreas,0.0000,1.0000,NA,0.9638,NA,NA
 piel,0.2941,0.9946,0.7143,0.9684,0.7143,0.4167
 próstata,0.0000,1.0000,NA,0.7674,NA,NA
 pulmón,0.2381,0.9891,0.5556,0.9577,0.5556,0.3333
 riñón,0.4286,0.9974,0.7500,0.9896,0.7500,0.5455
 sarcoma,0.4655,0.9757,0.7714,0.9119,0.7714,0.5806
 testículos,0.2500,1.0000,1.0000,0.9922,1.0000,0.4000
 timoma,0.0000,1.0000,NA,0.9922,NA,NA
 vejiga,0.7333,0.7634,0.1111,0.9861,0.1111,0.1930
