,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,0.8571,1.0000,1.0000,0.9974,1.0000,0.9231
 cabeza cuello,0.1111,1.0000,1.0000,0.9793,1.0000,0.2000
 colon,0.4000,1.0000,1.0000,0.9843,1.0000,0.5714
 esófago,0.0588,1.0000,1.0000,0.9585,1.0000,0.1111
 estómago,0.2500,0.9420,0.0833,0.9835,0.0833,0.1250
 hígado,1.0000,0.9661,0.1875,1.0000,0.1875,0.3158
 mama,0.5495,0.9527,0.7813,0.8731,0.7812,0.6452
 ovario,0.0769,1.0000,1.0000,0.9689,1.0000,0.1429
 páncreas,0.0000,1.0000,NA,0.9638,NA,NA
 piel,0.2353,0.9973,0.8000,0.9660,0.8000,0.3636
 próstata,0.0111,1.0000,1.0000,0.7694,1.0000,0.0220
 pulmón,0.3333,0.9891,0.6364,0.9628,0.6364,0.4375
 riñón,0.5714,0.9974,0.8000,0.9921,0.8000,0.6667
 sarcoma,0.8621,0.8967,0.5952,0.9736,0.5952,0.7042
 testículos,0.0000,1.0000,NA,0.9897,NA,NA
 timoma,0.3333,1.0000,1.0000,0.9948,1.0000,0.5000
 vejiga,0.6667,0.7339,0.0917,0.9820,0.0917,0.1613
