,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,0.8571,1.0000,1.0000,0.9974,1.0000,0.9231
 cabeza cuello,0.4444,0.9947,0.6667,0.9869,0.6667,0.5333
 colon,0.7000,0.9867,0.5833,0.9920,0.5833,0.6364
 esófago,0.2353,0.9946,0.6667,0.9659,0.6667,0.3478
 estómago,0.1250,0.9789,0.1111,0.9815,0.1111,0.1176
 hígado,1.0000,0.9661,0.1875,1.0000,0.1875,0.3158
 mama,0.8022,0.9730,0.9012,0.9412,0.9012,0.8488
 ovario,0.5385,1.0000,1.0000,0.9842,1.0000,0.7000
 páncreas,0.4286,0.9973,0.8571,0.9789,0.8571,0.5714
 piel,0.2941,0.9919,0.6250,0.9683,0.6250,0.4000
 próstata,0.7556,1.0000,1.0000,0.9310,1.0000,0.8608
 pulmón,0.5714,0.9699,0.5217,0.9753,0.5217,0.5455
 riñón,0.8571,0.9974,0.8571,0.9974,0.8571,0.8571
 sarcoma,0.5000,0.9818,0.8286,0.9176,0.8286,0.6237
 testículos,0.0000,0.9922,0.0000,0.9896,0.0000,NA
 timoma,0.3333,1.0000,1.0000,0.9948,1.0000,0.5000
 vejiga,0.3333,0.9866,0.5000,0.9735,0.5000,0.4000
