,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,0.5714,0.9974,0.8000,0.9921,0.8000,0.6667
 cabeza cuello,0.3333,0.9974,0.7500,0.9843,0.7500,0.4615
 colon,0.2000,1.0000,1.0000,0.9792,1.0000,0.3333
 esófago,0.2941,0.9757,0.3571,0.9678,0.3571,0.3226
 estómago,0.1250,0.9974,0.5000,0.9818,0.5000,0.2000
 hígado,0.3333,1.0000,1.0000,0.9948,1.0000,0.5000
 mama,0.5275,0.9966,0.9796,0.8728,0.9796,0.6857
 ovario,0.2308,1.0000,1.0000,0.9740,1.0000,0.3750
 páncreas,0.7143,0.8311,0.1370,0.9873,0.1370,0.2299
 piel,0.1176,0.9973,0.6667,0.9609,0.6667,0.2000
 próstata,0.9111,0.9697,0.9011,0.9730,0.9011,0.9061
 pulmón,0.4762,0.9235,0.2632,0.9685,0.2632,0.3390
 riñón,0.7143,0.9974,0.8333,0.9948,0.8333,0.7692
 sarcoma,0.0862,1.0000,1.0000,0.8613,1.0000,0.1587
 testículos,0.0000,0.9739,0.0000,0.9894,0.0000,NA
 timoma,0.3333,1.0000,1.0000,0.9948,1.0000,0.5000
 vejiga,0.0667,1.0000,1.0000,0.9637,1.0000,0.1250
