,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,0.0000,1.0000,NA,0.9819,NA,NA
 cabeza cuello,0.5556,0.9630,0.2632,0.9891,0.2632,0.3571
 colon,0.8000,0.9204,0.2105,0.9943,0.2105,0.3333
 esófago,0.0588,0.9973,0.5000,0.9584,0.5000,0.1053
 estómago,0.0000,1.0000,NA,0.9793,NA,NA
 hígado,0.0000,0.9948,0.0000,0.9922,0.0000,NA
 mama,0.0000,1.0000,NA,0.7649,NA,NA
 ovario,0.0000,1.0000,NA,0.9664,NA,NA
 páncreas,0.0000,0.9866,0.0000,0.9634,0.0000,NA
 piel,0.3529,0.9676,0.3333,0.9702,0.3333,0.3429
 próstata,0.7667,0.9865,0.9452,0.9331,0.9452,0.8466
 pulmón,0.6667,0.8443,0.1972,0.9778,0.1972,0.3043
 riñón,0.1429,1.0000,1.0000,0.9845,1.0000,0.2500
 sarcoma,0.5172,0.9574,0.6818,0.9184,0.6818,0.5882
 testículos,0.0000,0.9974,0.0000,0.9896,0.0000,NA
 timoma,0.6667,1.0000,1.0000,0.9974,1.0000,0.8000
 vejiga,0.0000,1.0000,NA,0.9612,NA,NA
