,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cabeza cuello,1.0000,0.9904,0.8000,1.0000,0.8000,0.8889
 cerebro,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cervical,0.9630,1.0000,1.0000,0.9986,1.0000,0.9811
 colangiocarcinoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 colon,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 esófago,0.5517,0.9973,0.8889,0.9825,0.8889,0.6809
 estómago,1.0000,0.9877,0.7632,1.0000,0.7632,0.8657
 hígado,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 leucemia,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 linfoma células B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mama,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mesotelioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 ovario,0.9655,0.9973,0.9333,0.9986,0.9333,0.9492
 páncreas,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 paraganglioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 piel,0.9655,1.0000,1.0000,0.9986,1.0000,0.9825
 próstata,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 pulmón,0.9310,1.0000,1.0000,0.9973,1.0000,0.9643
 riñón,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 sarcoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 testículos,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 timoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 tiroides,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 útero,0.9286,0.9945,0.8667,0.9973,0.8667,0.8966
 úvea,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 vejiga,0.8571,1.0000,1.0000,0.9946,1.0000,0.9231
