,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cabeza cuello,0.8929,0.9877,0.7353,0.9959,0.7353,0.8065
 cerebro,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cervical,0.7778,0.9986,0.9545,0.9919,0.9545,0.8571
 colangiocarcinoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 colon,1.0000,0.9945,0.8750,1.0000,0.8750,0.9333
 esófago,0.5862,0.9904,0.7083,0.9837,0.7083,0.6415
 estómago,0.9310,0.9891,0.7714,0.9972,0.7714,0.8438
 hígado,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 leucemia,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 linfoma células B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mama,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mesotelioma,0.9286,1.0000,1.0000,0.9973,1.0000,0.9630
 ovario,0.9310,0.9959,0.9000,0.9973,0.9000,0.9153
 páncreas,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 paraganglioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 piel,0.9655,1.0000,1.0000,0.9986,1.0000,0.9825
 próstata,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 pulmón,0.8966,1.0000,1.0000,0.9959,1.0000,0.9455
 riñón,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 sarcoma,1.0000,0.9959,0.9000,1.0000,0.9000,0.9474
 testículos,0.9655,0.9986,0.9655,0.9986,0.9655,0.9655
 timoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 tiroides,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 útero,0.8214,0.9918,0.7931,0.9932,0.7931,0.8070
 úvea,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 vejiga,0.7500,0.9973,0.9130,0.9905,0.9130,0.8235
