,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cabeza cuello,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cerebro,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cervical,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 colangiocarcinoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 colon,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 esófago,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 estómago,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 hígado,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 leucemia,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 linfoma células B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mama,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mesotelioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 ovario,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 páncreas,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 paraganglioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 piel,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 próstata,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 pulmón,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 riñón,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 sarcoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 testículos,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 timoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 tiroides,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 útero,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 úvea,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 vejiga,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
