,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cabeza cuello,1.0000,0.9959,0.9032,1.0000,0.9032,0.9492
 cerebro,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 cervical,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 colangiocarcinoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 colon,1.0000,0.9986,0.9655,1.0000,0.9655,0.9825
 esófago,0.9655,0.9959,0.9032,0.9986,0.9032,0.9333
 estómago,0.8966,1.0000,1.0000,0.9959,1.0000,0.9455
 hígado,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 leucemia,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 linfoma células B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mama,1.0000,0.9986,0.9655,1.0000,0.9655,0.9825
 mesotelioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 ovario,1.0000,0.9986,0.9667,1.0000,0.9667,0.9831
 páncreas,1.0000,0.9986,0.9655,1.0000,0.9655,0.9825
 paraganglioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 piel,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 próstata,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 pulmón,0.8966,0.9986,0.9630,0.9959,0.9630,0.9286
 riñón,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 sarcoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 testículos,0.9655,1.0000,1.0000,0.9986,1.0000,0.9825
 timoma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 tiroides,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 útero,0.9643,0.9973,0.9310,0.9986,0.9310,0.9474
 úvea,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 vejiga,0.8571,1.0000,1.0000,0.9946,1.0000,0.9231
