,Sensibilidad,Especificidad,PPV,NPV,Precisión,F1-score
 adrenocortical,0.9259,1.0000,1.0000,0.9973,1.0000,0.9615
 cabeza cuello,0.7857,1.0000,1.0000,0.9919,1.0000,0.8800
 cerebro,1.0000,0.9986,0.9667,1.0000,0.9667,0.9831
 cervical,0.9630,0.8595,0.2016,0.9984,0.2016,0.3333
 colangiocarcinoma,0.9231,0.9986,0.9600,0.9973,0.9600,0.9412
 colon,0.8929,0.9945,0.8621,0.9959,0.8621,0.8772
 esófago,0.1034,0.9945,0.4286,0.9655,0.4286,0.1667
 estómago,0.0000,1.0000,NA,0.9618,NA,NA
 hígado,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 leucemia,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 linfoma células B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 mama,0.8571,0.9959,0.8889,0.9945,0.8889,0.8727
 mesotelioma,0.8929,0.9986,0.9615,0.9959,0.9615,0.9259
 ovario,0.8966,0.9959,0.8966,0.9959,0.8966,0.8966
 páncreas,0.9643,1.0000,1.0000,0.9986,1.0000,0.9818
 paraganglioma,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 piel,0.9310,1.0000,1.0000,0.9973,1.0000,0.9643
 próstata,1.0000,0.9973,0.9355,1.0000,0.9355,0.9667
 pulmón,0.8276,0.9836,0.6667,0.9931,0.6667,0.7385
 riñón,0.9259,0.9986,0.9615,0.9973,0.9615,0.9434
 sarcoma,0.9259,0.9973,0.9259,0.9973,0.9259,0.9259
 testículos,0.8966,0.9973,0.9286,0.9959,0.9286,0.9123
 timoma,1.0000,0.9973,0.9286,1.0000,0.9286,0.9630
 tiroides,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 útero,0.1071,0.9918,0.3333,0.9667,0.3333,0.1622
 úvea,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
 vejiga,0.0000,1.0000,NA,0.9632,NA,NA
