"","Overall"
"ENSG00000001626",19.0410561660561
"ENSG00000006611",20.8796245415226
"ENSG00000012124",23.911614448985
"ENSG00000013588",16.8342874180084
"ENSG00000073282",11.2777777777778
"ENSG00000083454",25.8299201161946
"ENSG00000086205",54.1247346546161
"ENSG00000091513",27.0449629449025
"ENSG00000096696",24.208710109254
"ENSG00000105509",48.0230017507542
"ENSG00000107485",53.9215504839565
"ENSG00000109472",27.991397028897
"ENSG00000115221",7.34920634920634
"ENSG00000115468",62.1690103709432
"ENSG00000118526",41.9607119484766
"ENSG00000118785",7.07777777777777
"ENSG00000119866",11.2777777777778
"ENSG00000119888",22.2692307692307
"ENSG00000121900",86.8942011417843
"ENSG00000122025",86.8942011417843
"ENSG00000131910",22.3846153846154
"ENSG00000132698",22.0957053154552
"ENSG00000133980",143.288905455433
"ENSG00000134757",11.2777777777778
"ENSG00000135903",107.792177152244
"ENSG00000137265",76.539272945594
"ENSG00000137673",8.16666666666666
"ENSG00000138079",22.9746995464855
"ENSG00000141448",38.8601674360719
"ENSG00000143340",41.5262451938422
"ENSG00000144339",25.8251595861763
"ENSG00000144681",3.65741155396326
"ENSG00000146038",20.8477269023954
"ENSG00000153303",17.2571853221092
"ENSG00000158089",48.0844941315494
"ENSG00000162482",18.2711930926216
"ENSG00000163202",15.7340189131343
"ENSG00000164107",28.0001562124488
"ENSG00000164175",25.9764202085568
"ENSG00000164647",3.65741155396326
"ENSG00000164690",22.3846153846154
"ENSG00000165478",27.9783911650788
"ENSG00000165646",28.9675318597452
"ENSG00000166741",7.34920634920634
"ENSG00000170476",25.8299201161946
"ENSG00000173080",17.8987742779611
"ENSG00000173267",14.6326621923937
"ENSG00000176769",24.3491421725922
"ENSG00000177511",40.5010130445382
"ENSG00000177807",52.0470570912895
"ENSG00000178568",19.7824326211422
"ENSG00000179796",7.34920634920634
"ENSG00000182612",3.65741155396327
"ENSG00000183421",50.7005882034642
"ENSG00000184012",80.6161578241589
"ENSG00000184937",68.9149404218432
"ENSG00000185101",25.8150477521546
"ENSG00000185479",33.2743301182566
"ENSG00000185966",16.0226567608554
"ENSG00000185985",5.85221674876845
"ENSG00000188064",32.3804691600239
"ENSG00000188488",49.5667141500474
"ENSG00000188822",27.2511870845204
"ENSG00000189001",33.2178201229572
"ENSG00000196090",11.2777777777778
"ENSG00000197705",135.555825104817
"ENSG00000198300",22.3846153846154
"ENSG00000204531",21.5058920543249
"ENSG00000206432",57.9323811665915
"ENSG00000225950",11.2777777777778
"ENSG00000248483",70.1006000687384
"ENSG00000253313",23.8931462737767
"ENSG00000257743",36.710865798153
"ENSG00000259803",15.4542635658914
"ENSG00000261794",55.9874122322447
"ENSG00000265190",17.818178114007
"ENSG00000275410",69.1834781517599
"ENSG00000158486",0
"ENSG00000172137",0
"ENSG00000094963",0
"ENSG00000206072",0
"ENSG00000166634",0
"ENSG00000111863",0
"ENSG00000205362",0
"ENSG00000138669",0
"ENSG00000129455",0
"ENSG00000269113",0
"ENSG00000129451",0
"ENSG00000080031",0
"ENSG00000181649",0
"ENSG00000167880",0
"ENSG00000182667",0
"ENSG00000197444",0
"ENSG00000137440",0
"ENSG00000188385",0
"ENSG00000101680",0
"ENSG00000126562",0
"ENSG00000151012",0
"ENSG00000154975",0
"ENSG00000016602",0
"ENSG00000106809",0
"ENSG00000138152",0
"ENSG00000151632",0
"ENSG00000006377",0
"ENSG00000090382",0
"ENSG00000073756",0
"ENSG00000150750",0
"ENSG00000160867",0
"ENSG00000130545",0
"ENSG00000113361",0
"ENSG00000123572",0
"ENSG00000174950",0
"ENSG00000157150",0
"ENSG00000124664",0
"ENSG00000116299",0
"ENSG00000166535",0
"ENSG00000235961",0
"ENSG00000168243",0
"ENSG00000092009",0
"ENSG00000129596",0
"ENSG00000106633",0
"ENSG00000185565",0
"ENSG00000140937",0
"ENSG00000137868",0
"ENSG00000108602",0
"ENSG00000149575",0
"ENSG00000158246",0
"ENSG00000151572",0
"ENSG00000140832",0
"ENSG00000141469",0
"ENSG00000187134",0
"ENSG00000168743",0
"ENSG00000101144",0
"ENSG00000185499",0
"ENSG00000095203",0
"ENSG00000130234",0
"ENSG00000103449",0
"ENSG00000167434",0
"ENSG00000150893",0
"ENSG00000160183",0
"ENSG00000157399",0
"ENSG00000197261",0
"ENSG00000124731",0
"ENSG00000137648",0
"ENSG00000113389",0
"ENSG00000188959",0
"ENSG00000204967",0
"ENSG00000275395",0
"ENSG00000167157",0
"ENSG00000145832",0
"ENSG00000172927",0
"ENSG00000122756",0
"ENSG00000124253",0
"ENSG00000126218",0
"ENSG00000185156",0
"ENSG00000183742",0
"ENSG00000267795",0
"ENSG00000076864",0
"ENSG00000154764",0
"ENSG00000164796",0
"ENSG00000162069",0
"ENSG00000143536",0
"ENSG00000064205",0
"ENSG00000069011",0
"ENSG00000133083",0
"ENSG00000158164",0
"ENSG00000060709",0
"ENSG00000115648",0
"ENSG00000145287",0
"ENSG00000115112",0
"ENSG00000100079",0
"ENSG00000179674",0
"ENSG00000198074",0
"ENSG00000205929",0
"ENSG00000127324",0
"ENSG00000131746",0
"ENSG00000181449",0
"ENSG00000138028",0
"ENSG00000158055",0
"ENSG00000005001",0
"ENSG00000105707",0
"ENSG00000137975",0
"ENSG00000188833",0
"ENSG00000203785",0
"ENSG00000141579",0
"ENSG00000122133",0
"ENSG00000130762",0
"ENSG00000176049",0
"ENSG00000177508",0
"ENSG00000072041",0
"ENSG00000172156",0
"ENSG00000172318",0
"ENSG00000255398",0
"ENSG00000164695",0
"ENSG00000117472",0
"ENSG00000167311",0
"ENSG00000016402",0
"ENSG00000242515",0
"ENSG00000069764",0
"ENSG00000158258",0
"ENSG00000183844",0
"ENSG00000114771",0
"ENSG00000102003",0
"ENSG00000204128",0
"ENSG00000100867",0
"ENSG00000149573",0
"ENSG00000141744",0
"ENSG00000145824",0
"ENSG00000149418",0
"ENSG00000188916",0
"ENSG00000162989",0
"ENSG00000109265",0
"ENSG00000154620",0
"ENSG00000011347",0
"ENSG00000104112",0
"ENSG00000135472",0
"ENSG00000171126",0
"ENSG00000164935",0
"ENSG00000058085",0
"ENSG00000108242",0
"ENSG00000160886",0
"ENSG00000165092",0
"ENSG00000178172",0
"ENSG00000169218",0
"ENSG00000165816",0
"ENSG00000187957",0
"ENSG00000138308",0
"ENSG00000088002",0
"ENSG00000172061",0
"ENSG00000171401",0
